,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
32,1.014621416727702,0.03234153391776636,0.04421504338582357,0.007114474788917854,mse,7,10,300,"{'criterion': 'mse', 'max_depth': 7, 'max_features': 10, 'n_estimators': 300}",0.4802499507295005,0.5708677069555509,0.5572419728617741,0.5361198768489419,0.03989571105471909,28
33,1.4930088520050049,0.023699225220385395,0.07081095377604167,0.0014101773553764998,mse,7,10,400,"{'criterion': 'mse', 'max_depth': 7, 'max_features': 10, 'n_estimators': 400}",0.47955292816253925,0.5721482394427155,0.5565307159097548,0.5360772945050031,0.04047410491609377,29
31,0.6203415393829346,0.01682756162965242,0.027925570805867512,0.004071285628707628,mse,7,10,200,"{'criterion': 'mse', 'max_depth': 7, 'max_features': 10, 'n_estimators': 200}",0.47880649187918256,0.5701683945959128,0.5563220054110618,0.5350989639620525,0.04020416589745479,30
39,1.870998779932658,0.010006348332113623,0.08510573705037434,0.00517164310372228,mse,7,13,500,"{'criterion': 'mse', 'max_depth': 7, 'max_features': 13, 'n_estimators': 500}",0.47879213246950203,0.5592404564644011,0.5488718379628972,0.5289681422989334,0.03573141506862769,31
38,1.5571707884470622,0.03095811298649234,0.06781872113545735,0.00746299793882893,mse,7,13,400,"{'criterion': 'mse', 'max_depth': 7, 'max_features': 13, 'n_estimators': 400}",0.4785250549400427,0.5580411227465993,0.547722297683843,0.5280961584568283,0.035304298752161886,32
35,0.45810659726460773,0.021611468403892064,0.0156252384185791,0.0018807609780246777,mse,7,13,100,"{'criterion': 'mse', 'max_depth': 7, 'max_features': 13, 'n_estimators': 100}",0.4731520764404322,0.5634796954472525,0.5471528440045785,0.5279282052974211,0.039301906136351476,33
37,1.2127581437428792,0.016468311062491008,0.04521258672078451,0.0038481306520296724,mse,7,13,300,"{'criterion': 'mse', 'max_depth': 7, 'max_features': 13, 'n_estimators': 300}",0.478567570830263,0.5531811189995084,0.546738419357238,0.5261623697290031,0.03375722891795437,34
36,0.8111644585927328,0.01942963052551228,0.028922875722249348,0.0035495458608674167,mse,7,13,200,"{'criterion': 'mse', 'max_depth': 7, 'max_features': 13, 'n_estimators': 200}",0.4785776840094337,0.553010914664266,0.5460570761761958,0.5258818916166319,0.033569380993580235,35
20,0.5598357518513998,0.05468822987427115,0.014627536137898764,0.0024870995801725506,mse,7,auto,100,"{'criterion': 'mse', 'max_depth': 7, 'max_features': 'auto', 'n_estimators': 100}",0.481365780775441,0.5492664181129717,0.5425412674875184,0.5243911554586437,0.030547166401116422,36
47,1.1482641696929932,0.010116731627873347,0.0545202891031901,0.006531662876058628,mse,9,7,300,"{'criterion': 'mse', 'max_depth': 9, 'max_features': 7, 'n_estimators': 300}",0.47062507303265555,0.5545329264842014,0.5441525511660038,0.5231035168942869,0.03734905934148326,37
48,1.4544448852539062,0.037506377946865614,0.0874331792195638,0.02303716233316796,mse,9,7,400,"{'criterion': 'mse', 'max_depth': 9, 'max_features': 7, 'n_estimators': 400}",0.4705315199403123,0.5558333354011231,0.5424426388857377,0.5229358314090576,0.03745652220621264,38
